step,label,real_s,user_s,sys_s,peak_bytes,maxrss_bytes
00,read_and_hierarchy,12.96,12.96,12.96,1944799080,2103640064
01,proc,0.950000,0.950000,0.950000,0,231030784
02,opt_expr,1.640000,1.640000,1.640000,0,22822912
03,opt_clean,1.710000,1.710000,1.710000,0,85901312
04,check,0.860000,0.860000,0.860000,16384,153550848
05,opt_nodffe_nosdff,9.050000,9.050000,9.050000,49152,398344192
06,fsm,2.000000,2.000000,2.000000,0,285949952
07,opt,4.480000,4.480000,4.480000,0,359235584
08,wreduce,0.540000,0.540000,0.540000,0,43450368
09,peepopt,0.470000,0.470000,0.470000,16360,118734848
10,opt_clean,1.060000,1.060000,1.060000,81944,94814208
11,alumacc,0.060000,0.060000,0.060000,32744,49152
12,share,1.330000,1.330000,1.330000,0,303448064
13,opt,4.590000,4.590000,4.590000,16360,358383616
14,memory_nomap,4.050000,4.050000,4.050000,16384,322764800
15,opt_clean,1.110000,1.110000,1.110000,49152,119324672
16,opt_fast_full,3.710000,3.710000,3.710000,1572888,363544576
17,memory_map,0.000000,0.000000,0.000000,0,16384
18,opt_full,5.930000,5.930000,5.930000,0,450232320
19,techmap,0.000000,0.000000,0.000000,0,0
20,opt_fast,2.770000,2.770000,2.770000,0,353927168
21,abc_fast,4.900000,4.900000,4.900000,0,170393600
22,opt_fast,0.830000,0.830000,0.830000,0,63225856
23,hierarchy_check,0.000000,0.000000,0.000000,81920,81920
24,stat,0.030000,0.030000,0.030000,81920,81920
25,check,0.250000,0.250000,0.250000,0,124862464
26,write_edif,1.230000,1.230000,1.230000,98304,113541120
